"","SRR5098332","SRR5098333","SRR5098341","SRR5098343","SRR5098346","SRR5098348","SRR5098349","SRR5098351","SRR5098357","SRR5098359","SRR5098361","SRR5098364","SRR5098366","SRR5098367","SRR5098368","SRR5098369","SRR5098371","SRR5098372","SRR5098373","SRR5098374","SRR5098375","SRR5098376","SRR5098377","SRR5098378","SRR5098384","SRR5098385","SRR5098386","SRR5098388","SRR5098389","SRR5098390","SRR5098392","SRR5098393","SRR5098394","SRR5098395","SRR5098396","SRR5098397","SRR5098398","SRR5098400","SRR5098401","SRR5098402","SRR5098403","SRR5098406","SRR5098409","SRR5098410","SRR5098411","SRR5098413","SRR5098415","SRR5098420","SRR5098421","SRR5098425","SRR5098426","SRR5098429","SRR5098430","SRR5098434","SRR5098435","SRR5098436","SRR5098438","SRR5098439","SRR5098442","SRR5098443","SRR5098446","SRR5098447","SRR5098449","SRR5098450","SRR5098453","SRR5098454","SRR5098456","SRR5098457","SRR5098458","SRR5098459","SRR5098460","SRR5098461","SRR5098466","SRR5098467","SRR5098469","SRR5098471","SRR5098473","SRR5098475","SRR5098477","SRR5098478","SRR5098479","SRR5098481","SRR5098483","SRR5098484","SRR5098486","SRR5098487","SRR5098489","SRR5098490","SRR5098493","SRR5098494","SRR5098495","SRR5098496","SRR5098498","SRR5098499","SRR5098500","SRR5098501","SRR5098503","SRR5098506","SRR5098507","SRR5098510","SRR5098516","SRR5098517","SRR5098518","SRR5098520","SRR5098521","SRR5098523","SRR5098526","SRR5098527","SRR5098529","SRR5098534","SRR5098535","SRR5098536","SRR5098537","SRR5098539","SRR5098540","SRR5098541","SRR5098542","SRR5098543","SRR5098544","SRR5098546","SRR5098548","SRR5098551","SRR5098554","SRR5098557","SRR5098558","SRR5098559","SRR5098560","SRR5098561","SRR5098564","SRR5098565","SRR5098566","SRR5098568","SRR5098569","SRR5098571","SRR5098573","SRR5098574","SRR5098575","SRR5098576","SRR5098577","SRR5098579","SRR5098581","SRR5098582","SRR5098583","SRR5098584","SRR5098586","SRR5098589","SRR5098590","SRR5098593","SRR5098595","SRR5098596","SRR5098597","SRR5098598","SRR5098599","SRR5098600","SRR5098601","SRR5098602","SRR5098603","SRR5098604","SRR5098605","SRR5098607","SRR5098610","SRR5098611","SRR5098613","SRR5098614","SRR5098668","SRR5098669","SRR5098671","SRR5098673","SRR5098675","SRR5098680","SRR5098681","SRR5098682","SRR5098685","SRR5098687","SRR5098688","SRR5098689","SRR5098690","SRR5098693","SRR5098694","SRR5098695","SRR5098696","SRR5098697","SRR5098701","SRR5098702","SRR5098704","SRR5098705","SRR5098713","SRR5098714","SRR5098715","SRR5098717","SRR5098719","SRR5098721","SRR5098722","SRR5098723","SRR5098724","SRR5098726","SRR5098727","SRR5098728","SRR5098729","SRR5098732","SRR5098733","SRR5098736","SRR5098737","SRR5098738","SRR5098740","SRR5098742","SRR5098746","SRR5098752","SRR5098753","SRR5098756","SRR5098758","SRR5098759","SRR5098761","SRR5098764","SRR5098765","SRR5098767","SRR5098768","SRR5098769","SRR5098772","SRR5098776","SRR5098779","SRR5098780","SRR5098782"
"g__Alternaria",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,157,0,0,36368,1836,311,0,0,0,310,0,0,0,0,0,0,0,0,108,0,2060,0,0,0,0,0,0,0,1681,230,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,485,0,0,0,0,0,0,0,0,2540,0,220,0,0,0,0,0,0,0,486,1288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,534,1005,0,0,422,0,0,0,0,0,0,0,0,0,0,2231,0,0,563,0,393,0,593,0,992,0,184,0,0,0,0,0,1208,0,0,0,4610,0,0,0,0,1164,0,0,0,0,0,0,0,0,268,1380,0,0,0,0,0,0,0,831,899,0,0,1177,0,0,0,0,260,553,222,2540,0,0,0,0,0,1706,0,0,0,0,0,0,0,0,0,0,0,0,41,0,0,0,0,0,0,237,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,216,0,0
"g__Aspergillus",1649,0,0,2053,1548,0,0,0,0,0,0,1901,0,387,0,0,1779,0,0,89,383,0,955,801,0,0,0,388,148,0,2201,0,944,0,206,0,0,599,0,0,495,0,0,0,0,461,0,0,1878,0,0,0,35,0,1658,0,0,0,3369,6138,1898,1272,0,1104,1418,585,0,0,1198,0,0,855,511,0,0,0,0,0,2366,0,160,2002,0,0,0,0,2643,0,0,0,0,648,0,0,0,507,0,1435,0,1674,0,0,0,0,0,0,4734,0,0,7454,0,0,0,0,0,0,0,0,0,0,445,0,299,1125,0,1004,0,852,357,0,0,1614,0,9714,604,0,0,0,0,69,0,86,0,0,0,2198,35,1631,0,0,0,478,0,152,0,437,0,0,1286,287,0,0,669,507,942,0,0,0,775,0,8900,5373,600,381,349,484,0,0,0,369,0,7648,0,0,2141,376,1490,0,0,361,0,0,0,0,477,0,121,0,0,0,0,0,716,4069,0,92,0,730,530,962,84,0,720,0,4008,0,0,0,1194,0,682,632,434
"g__Candida",2460,7480,0,0,11830,0,21694,1374,0,0,0,0,257,0,0,75,18184,1610,1603,574,0,0,8279,1081,285,0,0,553,332,0,0,0,3346,253,0,0,0,0,301,763,12342,0,1756,3313,0,1029,0,0,0,28,0,0,0,608,0,0,1455,0,8709,0,0,0,42847,487,0,0,0,0,1315,1360,0,599,4758,0,1501,0,0,0,0,44277,77,11037,0,0,1887,0,0,5047,2934,0,0,0,89,0,636,737,0,0,4082,0,0,0,3549,0,0,0,877,0,0,38,0,0,0,15327,3020,1104,0,0,0,0,11982,0,123,8708,0,9615,0,0,37449,0,4470,654,0,0,996,0,0,0,0,0,0,193,0,0,8087,0,10238,0,896,0,8115,10981,0,0,5111,523,175,1224,0,0,1007,1563,0,2142,8953,0,0,2859,0,0,1483,0,0,177,1800,5912,0,0,16636,6170,0,12463,0,13694,1132,0,0,0,0,8125,0,100201,11641,2904,0,147,29311,1697,624,0,0,0,280,8981,0,0,0,0,1204,0,772,0,4559,0,5407,85181,0,6384,0,1608,1521,0,2190
"g__Cladosporium",670,0,0,0,0,0,879,342,0,0,0,0,0,0,1602,0,852,0,0,0,0,0,0,0,0,0,478,2374,344,335,0,313,1565,0,0,0,0,0,0,0,0,0,730,0,883,183,0,0,2689,0,1155,6545,0,274,0,0,744,0,0,1128,5265,0,0,0,0,0,0,1302,1023,1011,0,3631,0,0,0,3006,771,465,0,0,0,0,1996,0,0,0,3038,1163,353,0,0,4841,0,757,278,0,0,612,228,556,0,0,0,3182,0,1227,6434,0,0,1795,0,0,602,0,0,0,0,831,0,0,7920,0,434,504,0,0,0,2303,527,3201,0,20022,0,0,0,0,83,373,0,0,0,0,0,0,3747,0,576,534,255,649,0,0,0,1216,0,545,0,0,0,0,0,0,0,693,0,0,332,0,7048,0,826,2133,658,0,0,0,0,1739,0,0,0,3712,1368,167,1486,721,1077,0,0,0,0,0,0,0,0,277,0,0,0,0,0,0,206,2082,0,1444,3163,0,954,0,0,0,833,0,4292,0,0,1186,1713,0,2327,0,0
"g__Cyberlindnera",0,736,0,0,0,0,0,60981,0,0,0,0,0,0,0,10926,0,0,0,0,0,0,812,0,57639,0,0,0,0,0,0,0,0,0,0,0,0,0,82035,0,5014,0,0,0,0,0,0,0,0,64049,0,0,0,0,13796,0,0,0,0,0,2177,0,630,0,0,0,0,0,0,0,0,0,22688,0,0,1089,604,0,0,0,7735,0,0,0,0,884,0,0,0,0,0,0,122098,0,0,0,0,0,0,0,1155,0,0,4925,0,0,0,0,0,28,0,0,0,0,0,2611,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1311,0,0,0,247,0,0,0,0,0,11182,0,0,0,0,0,0,2119,0,717,0,53902,0,0,51,0,4587,0,0,489,0,0,0,0,0,0,0,1126,0,4987,0,755,0,0,0,592,821,0,0,0,0,0,21515,0,0,0,0,0,0,0,0,0,0,56274,0,0,0,0,0,989,574,0,2606,0,0,0,0,0,0,0,0,12279,0,0
"g__Debaryomyces",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52621,11249,454,0,0,1762,860,0,0,0,0,0,48,1026,0,0,0,148,0,3085,0,1230,0,992,0,724,0,0,0,789,0,0,0,0,321,0,0,1004,0,0,0,0,0,0,0,0,0,0,1099,293,525,0,0,0,0,0,0,0,0,0,0,472,0,0,0,0,0,0,0,743,0,0,0,0,0,909,0,0,0,0,0,0,0,0,0,0,1707,0,4083,0,0,0,0,490,0,0,0,0,0,0,0,0,0,2140,0,0,0,0,0,0,0,982,987,0,0,0,2488,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2883,0,0,0,0,3891,0,0,0,366,658,0,0,468,0,0,0,0,0,703,0,109,0,0,0,937,0,1180,0,0,0,0,0,0,1891,1020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,380,0,19735,0,501,0,0,92,0,0,0,0,0,0,0,0,0,0
"g__Fusarium",169,0,0,0,0,0,0,0,0,0,0,0,0,523,0,283,0,0,0,0,0,2660,0,0,0,0,0,0,0,1210,0,0,0,0,0,0,0,0,0,0,1653,0,0,0,0,0,0,0,1152,0,51,643,0,469,989,0,730,0,0,2638,0,0,0,0,0,0,0,1270,0,0,0,0,538,0,0,0,0,0,0,1405,745,0,0,0,0,0,0,0,0,0,0,1119,0,313,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4504,0,361,492,0,0,0,486,0,0,0,2384,0,93,0,0,0,0,974,3007,0,454,0,0,0,0,0,0,196,0,0,0,0,0,7452,0,929,0,2992,0,741,0,0,0,0,0,0,0,0,0,0,0,0,0,0,644,0,0,595,964,0,7097,0,0,0,0,0,0,0,0,0,0,0,499,0,9425,0,0,0,0,0,0,1792,0,0,1254,0,0,0,0,0,0,0,620,7542,0,0,95,0,0,155,78,0,83,496,541,0,0,315,0,0,1443,2377,0
"g__Malassezia",1501,1574,945,0,1416,2284,0,7289,3558,0,17553,1227,7423,10541,8147,1036,1252,1588,6793,6161,3679,1547,1357,17107,85,1046,558,790,488,636,13268,1631,426,0,0,4330,0,22673,14732,968,431,392,374,2697,1723,932,0,10806,3761,73,12208,567,2064,13772,720,474,839,62419,0,910,3198,0,823,38779,8473,390,6107,11911,5700,389,3065,6846,1776,15533,0,1513,929,190,1407,1968,6050,2319,8020,5389,8700,0,10913,608,650,4310,6371,2555,0,107,5593,9722,0,8457,0,11939,98,1411,0,1827,18236,15672,1846,12825,1222,25,734,7167,2124,226,0,0,1770,7059,4529,3192,5392,3693,0,705,9544,355,0,1307,4614,3690,425,4796,13813,12329,9843,0,0,1673,0,6080,19921,358,566,3398,2471,14178,67,4561,7118,830,3135,995,1888,827,283,1186,2751,772,5592,0,0,10374,3023,1498,650,678,17280,3224,11515,3408,1913,2305,3730,3636,13012,828,3055,8706,321,405,0,1898,13215,0,11233,4290,6616,1660,5925,335,2752,120,5310,1531,0,858,3124,0,2934,4275,5273,3808,900,15066,12016,6675,3177,2252,845,383,103,0,264,5941,8327,0,74,2518,11530,8116,72,8627,245
"g__Penicillium",0,0,0,0,0,0,0,0,3060,0,0,4149,0,0,0,0,803,0,0,97,0,0,0,0,0,0,0,0,675,0,0,0,2368,123,0,2213,0,0,0,0,0,0,0,1213,0,0,0,0,0,54,0,0,0,0,0,0,0,833,989,1498,3199,0,0,914,4549,9811,0,0,1044,0,1525,0,114,0,0,985,0,0,0,0,0,823,0,0,867,0,0,0,0,0,0,0,0,0,0,0,144,1422,0,0,0,0,0,0,0,1033,2455,0,0,1234,1136,0,244,494,8401,0,0,942,0,0,0,0,0,0,0,4293,0,1999,0,684,1357,1266,0,2493,0,0,0,0,0,1414,0,153,0,0,0,0,948,0,102,0,0,0,0,0,8711,0,0,0,0,0,27,0,0,2564,2031,0,0,0,1706,0,825,0,0,0,0,0,0,1542,1341,488,0,700,0,223434,0,0,0,0,5577,0,0,0,0,0,0,11872,1309,0,1029,0,248,5766,0,1575,0,193,0,0,0,191,0,0,0,13650,0,0,0,0,2223,0,0,0,335
"g__Pichia",0,0,665,0,0,0,0,487,0,0,0,465,0,308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,576,0,0,0,0,339,0,0,0,0,0,0,0,27226,0,0,0,833,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63794,0,0,0,0,0,166,254,0,0,0,0,0,0,0,0,0,0,0,316,970,0,71,0,1447,0,372,0,0,0,0,0,0,0,0,0,0,0,0,0,0,490,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3751,0,0,0,182,0,0,0,1161,0,0,0,0,0,1159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,695,0,0,0,0,0,0,0,0,691,0,0,0,0,0,0,97,0,3728,0,0,336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,284,0,0,0,0,0,0,0,0,0,0,0,0
